keyword,yt_videos,yt_score_sum
두바이,79,471562.17751371197
두쫀쿠,59,465782.22785236017
10분,2,402530.62836488447
유행하는,94,368559.44131894613
치즈케이크,32,338796.0536860027
만든,9,255259.72661790706
고구마,9,254955.9205429342
쫀득쿠키,30,241985.84454234267
제작,2,226639.08394687853
박지원,4,220286.1605368158
프로미스나인,4,220286.1605368158
두바이쫀득쿠키,62,206003.29984786038
허당미,2,200888.46419223622
일본에서,18,191618.31155322085
걸그룹,2,191399.218397384
백지헌,2,191399.218397384
송하영,2,191399.218397384
아이돌,2,191399.218397384
이나경,2,191399.218397384
이채영,2,191399.218397384
출처,2,191399.218397384
프나,2,191399.218397384
돼요,2,187392.44185363752
치킨,9,186078.48102264077
비밀,4,184831.2273604098
직접,21,183848.7838741315
많이,11,181878.20793387384
있음,3,179671.70090137393
없이,6,179259.98387845993
사장님,2,179205.57945512724
